question,answer
"你好，手机在数据传输过程中确实会发热，这是正常的，因为处理器工作很多。然而，第二天它仍然发热得很厉害。而且这个周末也发生了同样的情况：我无法正常使用手机，因为它会非常快地发热，甚至发热到亮度会自动降低以防止过热。不需要等待1或2周手机才能""稳定""下来。我从2009年开始使用iPhone，我知道手机不需要磨合期（在近15年的时间里我用过足够多的iPhone来知道）。所以我请求您换给我一部新的，希望这次一切都正常。这让我很困扰，因为您给我的那部手机状态完美。它就像新的一样。没有划痕或微划痕（而且您提供的包装比苹果提供的好得多！！）。而且我不确定是否能收到一个状态完美的新手机。但是我希望能得到一个可以正常使用的手机。我的iPhone 10在使用大型应用程序并长时间使用时可能会发热。而同样的应用程序在iPhone 12 Pro Max上只需2分钟就会让手机发热...所以请告诉我如何进行退货。并且您能提供给我相同型号的手机吗？感谢您的理解。","亲爱的客户，请您发送设备的照片以保护您免受任何纠纷，包括设备开机和关机的照片以及后盖照片在发货前。请在附件中找到免费的运输标签。请仔细遵循以下说明，如果未能遵循这些说明，我们将不得不退还设备。

1. 如果您的设备有密码锁，请先解锁或将密码写在一张纸上放入盒子中。
2. 解除与您的iCloud账户的关联。如果退回的手机上连接了iCloud账户，这将延缓您的售后处理过程。如果您无法解除与iCloud账户的关联，请告知我们。
3. 备份您的数据并取出SIM卡。
4. 然后，您可以将产品包装好。请使用足够坚固的包装，并将所有收到的配件一起退回。请仔细包装产品以保护自己免受任何纠纷。
5. 在包裹上打印运输标签。
6. 您可以将包裹送到以下地址：法国ST CLOUD市共和国大道15号。

如果这个地址不适合您，您可以在承运人网站上查看附近的送货点列表。

一旦我们收到并确认符合要求的退货产品，我们将在48个工作小时内发送替换产品。

再次对给您带来的不便表示歉意，并感谢您的理解。

请等待回复！"
你好，我按照你们的要求将iPhone退回给你们，附上了你们要求的3张照片。你们能否给我寄送一台256GB的12 Pro Max？如果没有现货，128GB也可以，并且你们会给我一张凭证，我可以在九月使用（我计划购买一台iPhone 12）。谢谢。,亲爱的客户，是的，换货将是与您的订单相同型号和颜色的产品。我们将在收到您退回给我们的手机后检查库存。再见！
你好，我昨天傍晚在邮局寄出了包裹。你应该很快就会收到。顺便问一下，你能告诉我你们这里iPhone 12 128GB的价格吗？谢谢，再见！ :),"亲爱的客户，希望你今天过得好！根据物流信息，包裹已经送达。我们将与我们的仓库核实，并在48个工作小时内提供解决方案。很快见！
至于iPhone 12 128GB的价格，您可以在我们商店的网站上查看。谢谢！
亲爱的客户，您的手机已经收到。我们希望为您更换一个新的手机。很抱歉告诉您蓝色已经售罄了。但是我们有金色可供选择。请告诉我们是否可以接受金色。谢谢并期待您的回复！"
这是唯一可用的颜色吗？否则，您有128GB的其他颜色吗？,亲爱的客户，是的，我们现在只有金色可供选择。很抱歉，我们没有128GB的存储容量。请告诉我们您的意见。
那好吧，选择“金色”作为颜色。这有点炫耀，但因为会有一个保护壳...只要它没有异常过热问题，我就接受了（希望它和之前寄来的一样“新”）。,亲爱的客户，我们为您安排了一次新的交换。跟踪号码是CUB109584022（承运人：Cubyn Express）。它将在24个工作小时内发货。谢谢。
"你好，我希望你能给我寄发发票。谢谢你。诚挚地问候。

你好，我购买了这部iPhone作为礼物。不幸的是，内部扬声器不工作。我们已经尝试了所有推荐的操作，但是在通话时声音几乎听不见。我们还联系了苹果以防这是更新或其他问题。苹果确认内部扬声器有问题。因此，我想知道如何处理保修事宜。感谢您，并期待您的回复。诚挚地问候。","亲爱的客户，我们对给您带来的任何不便表示歉意。请不要担心，我们可以在收到后为您提供一份新的替换品。请您发送以下信息：1. 为了保护您免受任何纠纷，请发送设备的照片，包括开机和关机的屏幕照片以及背面照片。请仔细确认手机是否有摔落/压力/水浸或类似损坏。2. 请确认您的送货地址如下，以便我们为您生成免费退货标签并指导您退回有问题的产品。谢谢，并期待您的回复。

Herhard Josianna
13 rue des Ratelles
CHARRAIS
86170 Saint Martin La Pallu, France
0688317591"
"你好，非常感谢您的回复。是的，我将非常感激您能够采取必要措施进行退货。事实上，如果无法听到对方的声音，使用这部手机会很困难。您是要进行换货还是我需要重新下订单呢？提前感谢您的回答。诚挚问候。

再次你好，如您所要求，我发送了手机关机、开机和背面的照片给您。我确认手机没有受到任何损坏、摔落、压力或水渗入。我确认我的地址是：Herhard Josianna, 13 rue des Ratelles Charrais, 86170 Saint Martin La Pallu, France, 0688317591。我也需要将充电线和充电器一并退回给您吗？这部iPhone是一份礼物，收件人目前没有手机可用。请问我何时能收到替换的手机呢？另外，我还想提醒您这部手机外观完好如新。但是需要告知您的是，电池在收到时已经有89%的磨损，并降至87%。期待您的回复。再次感谢并致以诚挚问候。

你好，我刚刚发现我没有取下屏幕上附加的保护膜。这个膜会在照片上产生反光。谢谢。如果需要任何其他信息，请随时联系我。祝您收件顺利。","亲爱的客户，请查收附上的免费运输标签。请仔细遵循以下指示，如果未能遵循这些指示，我们将不得不退还您的设备。

1. 如果您的设备有锁定码，请将其关闭或将其写在一张纸上并放入包裹中。
2. 解除您的iCloud账户连接。如果退还的手机与iCloud账户连接，这将延缓您的售后处理过程。
3. 备份您的数据并取出SIM卡。
4. 然后，您可以将产品包装好。请使用足够坚固的包装，并将所有收到的配件一起退还。请仔细包装产品以保护自己免受潜在争议。
5. 在包裹上打印运输标签。
6. 您可以将包裹送到以下地址：法国CHAMPIGNY LE SEC市政府广场3号。

如果这个地址不适合您，您可以查看运输公司网站以获取附近投递点列表。

一旦我们收到退还的产品并确认符合要求，我们将在48个工作小时内重新发送替换产品。

再次为给您带来不便表示歉意，并感谢您的理解。

期待回复！"
"你好，

感谢您的快速回复。
我在附件中附上了手机的照片。但正如之前的消息中所提到的，手机无法开机。因此，我无法提供“开机照片”。
我的手机没有遭受任何损坏。没有摔落、压力或水渗入。我还用Rhinosheild保护了它。
昨天在使用过程中，它突然关机了，没有任何预警。
您消息中提到的地址是正确的，但电话号码和姓名不正确。以下是修改后的联系方式：
Ugolin Guffroy
104 rue Saint Martin,
62400 Béthune,
France
0627930333

如果修理需要清除手机数据，请提前通知我。这正是我希望避免的。

非常感谢您的帮助。",亲爱的客户，希望你今天过得好！根据物流信息，包裹已经送达。我们将与我们的仓库核实，并在48个工作小时内提供解决方案。但是在核实您手机的IMEI 359669603508085后，发现iCloud账户尚未删除，请参考附件。请尽快删除它。您可以远程操作，无需手机，按照我们的指南选择“通过icloud.comhttps://sellercentral-europe.amazon.com/nms/redirect/aad7a86f-ae02-34f7-be43-52d5136efdd9?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=uIY0of-kYVNTikQiMxx6N_j6ULUasQzG4HHY3_pLtis-Supz3jF60oz_3_YIT3sLRAot73paGS2ZBHO5dYxUdQ&n=1&u=aHR0cDovL2ljbG91ZC5jb20”这里或使用附加方法：-进入https://www.icloud.com/和https://sellercentral-europe.amazon.com/nms/redirect/c8f3f3fc-1c01-32c3-912e-f7d87d923eba?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=GWXOwQgejQTthTkjG_M_anao_--WbstpylKJlBbqc_2GaRcjTdPBJEZC1MAAb6t9BZM8m2_mGyhIsjsEaF2JPg&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS9ldA，使用与您设备连接的相同iCloud账户登录-点击“查找我的iPhone”-点击窗口顶部的“所有设备”-选择您要断开连接的设备-请注意，您的设备必须处于离线状态，如果是这样，您应该看到旁边有一个灰色点（如果设备关闭或未连接到数据网络，也被视为离线）-点击“从账户中删除”，然后点击“删除”-输入您的Apple ID密码并确认。完成这些步骤后，请告诉我。
你好，我确认已经成功从我的手机上注销了我的iCloud账户。祝你有个愉快的一天。,亲爱的客户，您的手机已经收到。我们希望为您更换一个新的手机。很抱歉告诉您黑色已经售罄。但是我们有蓝色、红色、紫色和绿色可供选择。请告诉我们您是否可以接受其中一种颜色。谢谢，期待您的回复。
你好，我联系您是关于我购买的iPhone 12 Pro Max的问题。它的电池有问题。当我们打开移动数据时，它会立即耗尽电量，而当我们插上充电器时，电量又会回到大约70%左右。,"亲爱的客户，我们为给您带来的任何不便表示歉意。请不要担心，我们可以为您提供一份新的替换产品。请您发送以下信息：1. 设备的照片，以保护免受任何争议，包括屏幕开启和关闭的照片，以及背壳的照片。请仔细确认手机是否遭受过摔落/压力/水浸或类似损坏。2. 请确认以下地址是否正确，以便我们为您提供免费退货标签。期待尽快收到您的回复！Cheikh Tidiane Ndiaye5, Rue des Poissonniershotel Pax75018 Paris, France"
你好，非常感谢您的回复，我会在今天发送照片给您。关于地址，是的，确实需要将退货标签放在那里。,"亲爱的客户，请您发送设备的照片，以保护您免受任何纠纷，包括设备开机和关机的照片以及后盖照片在发货前。请在附件中找到免费的运输标签。请仔细遵循以下说明，如果未能遵循这些说明，我们将不得不退还设备。

1. 如果您的设备有密码锁，请先解锁或将密码写在一张纸上并放入盒子中。
2. 解除与您的iCloud账户的关联。如果退回的手机上连接了iCloud账户，这将延缓您的售后处理过程。如果您无法解除与iCloud账户的关联，请告知我们。
3. 备份您的数据并取出SIM卡。
4. 然后，您可以将产品包装好。请使用足够坚固的包装，并将所有收到的配件一起退回。请仔细包装产品以保护自己免受任何纠纷。
5. 在包裹上打印运输标签。
6. 您可以将包裹送到以下地址：
11 RUE DES ISLETTES
75018 PARIS France
如果这个地址不适合您，您可以在承运人网站上查看附近的送货点列表。

一旦我们收到并确认符合要求的退货产品，我们将在48个工作小时内发送替换产品给您。

再次对给您带来的不便表示歉意，并感谢您的理解。

请等待回复！"
你好，我想要退款，因为在使用两个月后，我遇到了严重的故障。它会点亮苹果标志然后自动关机，再也无法开机，但在20/30分钟后又会重新开机。谢谢。,"亲爱的客户，请发送设备的照片以保护您免受任何纠纷，包括开机和关机的照片以及发货前的背面盖。请在附件中找到免费的运输标签。请仔细遵循以下说明，如果未能遵循这些说明，我们将不得不退还设备。

1. 如果您的设备有密码锁，请先解锁或将密码写在纸上放入盒子中。
2. 解除与您的iCloud账户的关联。如果退回的手机上连接了iCloud账户，这将延缓您的售后处理过程。如果您无法从iCloud账户中注销，请告知我们。
3. 备份您的数据并取出SIM卡。
4. 然后，您可以将产品包装好。请使用足够坚固的包装，并将所有收到的配件一起退回。请仔细包装产品以保护自己免受任何纠纷。
5. 在包裹上打印运输标签。
6. 您可以将包裹交付至以下地址：
22 RUE LOUIS LEJEUNE
59290 WASQUEHAL France
如果此地址不适合您，您可以在承运人网站上查看附近交货点列表。

一旦我们收到并确认符合要求的退货产品，我们将在48个工作小时内发送替换产品。

再次为给您带来的不便表示歉意，并感谢您的理解。请等待回复！

我们知道您的手机无法开机。因此，您可能无法在手机上解除iCloud账户的关联。请按照以下说明使用笔记本电脑或台式电脑解除与iCloud账户的关联。您无需手机，只需使用电脑或笔记本电脑。

1. 打开以下页面：https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/b557090e-10fb-3768-9890-f6305bc33fd9?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=ZLjpN5AR5ySm_8H2SkGGyvY3AFendr3N2MkFPMN37xs4O2xwYqnmvDguZ1dFO8tYrvYQH0yuRUhWwl9AM4sHSA&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 并登录与您的设备关联的iCloud账户。
2. 如果启用了双重认证，您应该会在受信任设备上收到验证码。如果没有收到，请将SIM卡插入新设备并点击“未收到验证码？”然后点击“发送短信”。
3. 点击“查找”。如果找不到“查找”应用程序，则表示您未登录正确的iCloud账户，请确保使用的是与您的设备关联的Apple ID。
4. 在窗口顶部点击“所有我的设备”。如果找不到“所有我的设备”，则表示您已经选择了一个设备。点击工具栏中央的当前设备名称以访问设备列表，然后选择另一个设备。
5. 选择要解除关联的Apple设备，它必须处于离线状态（左侧有灰色点）。如果设备已关闭或未连接到任何互联网网络，则被视为离线状态。
6. 点击“从账户中删除”。如果找不到“从账户中删除”按钮，请确保已断开与该设备的连接（关闭它）。
7. Apple会要求您确认删除该设备。点击“删除”。最后，Apple会要求您输入密码以确认删除。输入密码并点击“删除”。通过这种方式，您将成功解除与该设备上的iCloud账户的关联。

非常感谢您的帮助。"
"你好，我的手机只会不停地开关机，我已经要求退货并退款，但由于无法重置手机，因此无法打开它。
寄出前的状态是什么？
收到后多久会退款？",亲爱的客户，感谢您提供的信息！收到后，我们会无问题地退款给您。请在您发货后通知我们。
包裹刚刚出发。,亲爱的客户，好的，我们会密切关注并在收到后回复您。祝您有个愉快的一天！
非常感谢，这真是太好了。,亲爱的客户，非常高兴为您服务。祝您有一个愉快的一天！
你好，请问你能退款吗？非常感谢，祝你也有美好的一天。,亲爱的客户，为了不让您等待，我们今天将退款给您。之后请与我们的仓库确认。谢谢，祝您有个愉快的一天！
你好，我在去年二月购买了一部iPhone 11，但是它的触摸功能现在无法使用了。它没有掉落或者破裂。我希望能够使用亚马逊重新购买的保修服务。谢谢。,"亲爱的客户，我们为给您带来的任何不便表示歉意。请放心，我们可以在收到后为您提供维修服务。请您发送以下信息：1. 为了保护您免受任何争议，请发送设备的照片，包括屏幕照片和背面照片。并请仔细确认手机是否遭受过摔落/压力/水浸或类似损坏。2. 请确认您的送货地址如下，以便我们可以为您生成免费退货标签，并指导您如何退回有问题的产品。谢谢，并期待您的回复。诚挚Vacaresse Lena27 Rue des Genevriers34660 Cournonsec, France0687904646"
"你好。这个产品有问题。屏幕经常自动关闭，相机也有bug。请问能否退款？谢谢。
你好。这个商品有问题，无法正常工作。它会过热，屏幕会自动关闭。请问能否退款？谢谢。","亲爱的客户，为了保护您免受任何纠纷的影响，请将设备的照片发送给我们，包括开机和关机的照片以及后盖。请在附件中找到免费的运输标签。请仔细遵循以下说明，如果未能遵循这些说明，我们将不得不退还设备给您。

1. 如果您的设备有密码锁，请先解锁或将密码写在一张纸上放入包装盒中。
2. 解除与您的iCloud账户的关联。如果退回的手机上连接了iCloud账户，这将延缓您的售后处理过程。如果您无法解除与iCloud账户的关联，请告知我们。
3. 备份您的数据并取出SIM卡。
4. 然后，您可以将产品包装好。请使用足够坚固的包装，并将所有收到的配件一起退回。请仔细包装产品以保护自己免受任何纠纷。
5. 在包裹上打印运输标签。
6. 您可以将包裹交付至以下地址：
18 RUE DE L HOTEL DES POSTES
06000 NICE France
如果这个地址不适合您，您可以在承运人网站上查看附近交付点列表。

一旦我们收到并确认符合要求的退货产品，我们将在48个工作小时内发送替换产品给您。

再次为给您带来的不便表示歉意，并感谢您的理解。请等待回复！
亲爱的客户，我们知道您的手机无法开机。所以您可能无法在手机上解除iCloud账户的关联。请按照以下说明使用笔记本电脑或台式电脑解除与iCloud账户的关联。您不需要手机，只需要使用电脑或笔记本电脑。

1. 打开以下页面：https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/c5807929-8ccb-388b-bbfa-d1e85e520467?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=L15bj14hYUa8SzKYLDEYwrbSKdi_BzNYksE49By_s_ajPubyNC0zklFZ392oS8u1ftabqW2_EMghJ74fahD5rQ&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 并登录与您的设备关联的iCloud账户。
2. 如果启用了双重认证，您应该会在受信任设备上收到验证码。如果没有收到，请将SIM卡插入新设备并点击“没有收到验证码？”然后点击“发送短信”。
3. 点击“查找”。如果找不到“查找”应用程序，则表示您未登录正确的iCloud账户，请确保使用的是与您的设备关联的Apple ID。
4. 在窗口顶部点击“所有我的设备”。如果找不到“所有我的设备”，则表示您已经选择了一个设备。点击工具栏中央的当前设备名称以访问设备列表，然后选择另一个设备。
5. 选择要解除关联的Apple设备，它必须处于离线状态（左侧有灰色点）。如果设备已关闭或断开与任何互联网网络的连接，则被视为离线状态。
6. 点击“从账户中删除”。如果找不到“从账户中删除”按钮，请确保已断开与该设备的连接（关闭它）。
7. Apple会要求您确认删除该设备。点击“删除”。最后，Apple会要求您输入密码以确认删除。输入密码并点击“删除”。通过这种方式，您将成功解除与该设备上iCloud账户的关联。

非常感谢您的帮助。"
你好，我希望能够全额退款。谢谢。,亲爱的客户，请使用我们提供的免费退货标签将您的手机寄回。在我们收到无问题的手机后，我们将退款给您。在寄送手机之前，请提供手机正面和背面的照片，以及解除iCloud。请在寄送手机后通知我们。感谢您的合作！
亲爱的卖家，我们收到了我们的客户关于他在您的在线商店下的订单的联系。以下是客户提供给我们的信息：--------------------订单号：402-8091434-5653939ASIN：原因：商品损坏、有缺陷、错误详情：亲爱的ECOMMUNITY，这件商品一开始就出现了问题，上面的部分与手机分离。手机无法使用。请您检查此事并尽快与客户联系以达成解决方案。谢谢并祝您工作顺利。-------------------要回复此客户，请回复此电子邮件或使用您的卖家账户，点击以下链接：[链接已删除]我们希望能解决客户的问题。顺祝商祺。亚马逊意大利客服http://www.amazon.it,尊敬的客户，对于可能造成的不便我们深感抱歉。请向我们发送设备的照片，以保护您免受任何争议，包括设备开启和关闭时的屏幕照片以及后盖照片。请仔细确认手机是否遭受过摔落/挤压/进水或类似损坏。请在附件中找到免费运输标签。请仔细遵循以下指示，如果未能遵循这些指示，我们将不得不退还您的设备。1. 如果您的设备有锁屏密码，请将其禁用或将其写在一张纸上并放入盒子中。2. 断开您的iCloud账户连接。如果有一个iCloud账户与退还的手机连接在一起，将会延缓支持过程。3. 保存您的数据并取出SIM卡。4. 然后您可以打包产品。请使用足够坚固的包装，并将所有收到的配件一起退还。请小心包装以防止可能发生争议。5. 在包裹上打印运输标签。6. 您可以将包裹交付至以下地址：意大利帕维亚市吉拉德利街1227100号 如果这个地址不符合您的要求，您可以查阅快递公司的网站，了解附近的投递点列表。一旦收到退还的产品并确认符合要求，我们将在48个工作小时内修复并重新发送给您。再次对造成的不便表示歉意，并感谢您的理解。期待您的回复！
您好，我在九月份订购了这部翻新的iPhone 12，但它开始出现问题，因为它不再识别电池并且无法正常工作。在维修中心进行诊断后，他们发现了其他电子问题，并且由于存在非原装零部件，他们没有进行修理。由于手机仍在亚马逊的保修期内，我想要退款或至少更换一部手机。期待您的回复。谢谢。,"亲爱的客户，我们已经收到了您的手机，但是IMEI为352590375973157的iCloud仍然连接着（请参见附件），请将其移除以便我们为您安排。谢谢并期待您的回复。

我们知道您的手机无法打开。所以也许您无法在手机上关闭iCloud账户。请按照以下步骤使用笔记本电脑或计算机退出您的iCloud账户。不需要手机，只需使用计算机或笔记本电脑即可。

1. 进入网页：https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/e71db04b-991d-3ade-8bdb-06ddf66b17a6?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=LB_8dMQXQiQiPUY0zC0RYem6hK8lTwG3kTnuzzZe3RyrQV852foKNss4y1UkHgK3SSdTjSMxt0uZ56BRB5I9RA&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 并登录与您的设备连接的iCloud账户。
2. 如果启用了双重认证，您应该会在可信设备上收到验证码。否则，请将SIM卡插入新设备并点击“没有收到验证码？”然后点击“发送短信”。
3. 点击“查找”。如果您看不到“查找”应用程序，则表示您没有登录正确的iCloud账户，请确保使用的是与您的设备相关的Apple ID。
4. 在窗口顶部点击“所有我的设备”。如果您看不到“所有我的设备”，则表示您已经选择了一个设备。点击工具栏中央的当前设备名称以访问设备列表，然后选择另一个设备。
5. 选择要断开连接的Apple设备，它应该是离线状态（左侧有一个灰色点）。如果设备已关闭或断开了任何互联网连接，则被视为离线。
6. 点击“从账户中移除”。如果您看不到“从账户中移除”按钮，请确保断开连接该设备（关闭它）。
7. Apple会要求您确认删除该设备。点击“删除”。最后，Apple会要求您输入密码以验证删除。输入密码并点击“删除”。这样，您将成功退出设备上的iCloud账户。

非常感谢您的支持。"
"早上好，我按照亚马逊的指示将这部手机退回，因为它有缺陷并且仍在保修期内。我还购买了该产品的延长保修。我还没有收到关于退货或我的请求状态的回复。我希望能得到有关请求的回复，如果不在保修范围内，您需要将手机寄回给我。
我现在才看到您5月22日的回复。我确认地址是正确的：Via Marconi 63，Cadrezzate con Osmate（VA）21062。我使用UPS将包裹寄出，并按照亚马逊的要求打印了标签。",亲爱的客户，感谢您的回复。我们希望为您更换一个新的。很抱歉告诉您白色已经售罄了。但我们有黑色、红色和紫色可供选择。请告诉我们您是否可以接受其中任何一种颜色。谢谢，期待您的回复。
非常感谢您的回复。如果紫色还有货的话，那就太好了。,亲爱的客户，我们已经为您更换了一部新手机（颜色：紫色）。追踪号码是CUB110467270（快递公司：Cubyn Express）。将在24个工作小时内发货。非常感谢您的合作，祝您有美好的一天！
你好，我购买的产品有显示屏故障，我想知道如何申请退款或换货。你也可以通过邮件与我联系，我的邮箱是[indirizzo e-mail eliminato]。期待您的回复，谢谢。,"尊敬的客户，我们为给您带来的不便表示歉意。亚马逊隐藏了您的电子邮件地址，我们无法看到它。我们将在下一条消息中为您提供退货标签。首先，请您详细描述一下手机的问题，或者发送一些展示问题的照片给我们吗？感谢您的支持！

尊敬的客户，请您发送设备照片以保护自己免受任何争议，包括开启和关闭屏幕以及背面盖在发货前的照片。请查看附上的免费运输标签。请仔细遵循以下指示，如果未能遵循这些指示，我们将不得不退还设备。

1. 如果您的设备有密码锁，请禁用它或将密码写在纸上放入盒子中。
2. 解除与您手机连接的iCloud账户。如果退还手机时有连接到iCloud账户，这将延缓支持流程。如果无法退出iCloud账户，请告诉我们。
3. 备份数据并取出SIM卡。
4. 然后可以打包产品。请使用足够坚固的包装，并将所有收到的配件一起退还。请仔细包装产品以保护自己免受任何争议。
5. 在包裹上打印运输标签。
6. 您可以将包裹交付至以下地址：VIA CRUCIS 8780029 SANTANTIMO Italy。如果您对此地址不满意，可以查看快递公司的网站以获取附近的交付点列表。

一旦收到并符合要求的退货产品，我们将在48个工作小时内退款给您。再次为我们给您带来的不便表示歉意，并感谢您的理解。期待您的回复！

尊敬的客户，我们了解到手机显示屏存在问题。因此，您可能无法在手机上关闭iCloud账户。请按照以下指示使用笔记本电脑或计算机退出iCloud账户。无需手机，只需使用计算机或笔记本电脑即可。

1. 访问以下网页：https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/29f8facb-baa8-3d1c-9c16-22dd2e97114e?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=K2q-huj3M_J-oSmlaSxOHSoEwJx6N9C1ocuILtynVHqznBBXIlHBvoJ19Lv6VBcFspt-2c1n4Ax2LE5gttSDaQ&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 并登录与您设备连接的iCloud账户。
2. 如果启用了双重认证，您应该在可信设备上收到验证码。否则，请将SIM卡插入新设备并点击“未收到验证码？”然后点击“发送短信”。
3. 点击“查找”。如果看不到“查找”应用程序，则表示您未登录正确的iCloud账户，请确保使用的是与您设备相关的Apple ID。
4. 在窗口顶部点击“所有我的设备”。如果看不到“所有我的设备”，表示您已经选择了一个设备。请点击工具栏中央的当前设备名称以访问设备列表，然后选择另一个设备。
5. 选择要断开连接的Apple设备，它应该是离线状态（左侧有一个灰色点）。如果Apple设备处于关闭状态或未连接到任何互联网网络，则被视为离线。
6. 点击“从账户中删除”。如果看不到“从账户中删除”按钮，请确保断开连接该设备（关闭它）。
7. Apple会要求您确认删除该设备。点击“删除”。最后，Apple会要求您输入密码以验证删除操作。输入密码并点击“删除”。这样，您将成功退出手机上的iCloud账户。

非常感谢您的支持。"
"晚上好，右下角的显示问题出现了一个黑点，其余部分的显示有模糊的线条，我还尝试发送了照片。包裹已经寄到了标签上的地址，如果您想通过电子邮件联系，请发送至[indirizzo e-mail eliminato]，期待您的回复，谢谢。
这些是包装前的照片。
这些是有线条和模糊字迹的缺陷照片。","亲爱的客户，感谢您提供的照片！我们将跟踪包裹并在收到时向您更新。祝您有个愉快的一天！

您好，昨天我们收到了退回的产品。经过核实，我们的技术人员确认手机内部屏幕已经破裂，并出现明显的液体泄漏（请参见附带的报告和照片）。显然这是由使用过程中人为造成的。这并不是屏幕质量问题。手机显示屏问题是由摔落或撞击引起的。有时候手机摔落或受到冲击并不会导致屏幕出现裂纹或其他明显损坏，但可能会对设备内部造成损害，这些故障可能会在短期或长期内发生，仅仅因为手机本身结构已经变弱。这意味着它已经超出了保修期限。液体泄漏在屏幕上是由于LCD面板像素受到冲击而破坏引起的。鉴于这种情况，该手机已超出保修期限，我们无法再提供服务。您可以选择以下两种解决方案：1. 我们将退还手机给您，并请您联系当地维修店进行维修。2. 您可以支付维修费用（80欧元），我们将为您修复手机并寄回。谢谢。"
"早上好，如果我想要在我收到货物后将其修理给您，可以吗？
修理显示屏的价格是80欧元，然后再寄回我的家对吗？
期待您的进一步指示。",亲爱的客户，您好！请通过我们的电子邮件地址与我们联系，并提供您的订单号（亚马逊会删除电子邮件地址，因此我们将通过附加的截图发送给您）。然后我们会告诉您如何支付维修费用。谢谢！
"我可以在哪里找到你们的电子邮件地址？
我找不到电子邮件地址，该如何知道如何通过电话解决问题？",亲爱的客户，我们很抱歉，请查看附件。我们将等待您的消息。谢谢！
"Hola, ya me pone que os ha llegado.",尊敬的客户，我们已经为您更换了一部新手机。跟踪号码是CUB107898233（承运人：Cubyn Express）。将在24个工作小时内发货。非常感谢您的合作，祝您有愉快的一天！
你好，晚上好。又是另一部电话，但有另一个问题。当你打电话时，声音听不清楚。这已经是第二次手机出问题了。我们该如何解决这个问题，又要寄送手机了。谢谢，你们告诉我吧。,亲爱的客户，我们为给您带来的任何不便表示歉意。请不要担心，我们将为您提供满意的解决方案。请发送以下信息给我们：1. 设备的照片，以保护免受任何争议，包括屏幕开启和关闭的照片以及背壳照片。请仔细确认手机是否遭受过摔落/压力/水渗透或类似损坏。2. 请确认以下地址是否正确，以便我们为您提供免费退货标签：西班牙萨拉戈萨省萨拉戈萨市瓦尔布埃纳斯街15号2G2号码邮编50019电话号码：686056665期待尽快收到您的回复！
"下午好，对回复的延迟表示抱歉。我附上了您要求的照片。正如您所看到的，这部手机没有任何碰撞痕迹，也没有摔落或进水的情况。最后，我要告诉您地址是正确的：C/ Camino del Santiaguiño, 1B - La Coquina - 11.130 Chiclana de la Frontera（电话号码677841775）。祝好。","尊敬的客户，附上免费的运输标签。请仔细遵循以下说明，如果不遵循，我们将不得不退还设备。

1. 如果您的设备有锁定码，请将其解锁或将其写在纸上并放入包装盒中。
2. 登出您的iCloud账户。如果退回的手机上有连接的iCloud账户，将会延缓我们的支持流程。
3. 备份您的数据并取出SIM卡。
4. 然后可以打包产品。请使用足够坚固的包装，并将所有收到的配件一起归还。请小心包装产品以防止可能发生的争议。
5. 在包裹上打印运输标签。
6. 您可以将包裹交付至以下地址：
西班牙CHICLANA DE LA FRONTERA市ESTUDIANTES街19号1130号

如果这个地址不适合您，您可以查看运输公司网站以获取附近转运点列表。

一旦我们收到退回产品并满足要求，我们将在最多48个工作小时内发送修复后的产品给您。

再次对我们给您带来的不便表示歉意，并感谢您的理解。期待您的回复！"
